Player Id,Name,Games Played Fumbles,Games Played Rushing,Fumbles,Rushing Attempts,Rushing Yards,Fumbles Per Game,Carries Per Fumble,Yards Per Fumble,Yards Per Carry
darylrichardson/2534789,"Richardson, Daryl",27,27,5,169,697,0.1852,33.8000,139.4000,4.1243
davidgarrard/2505101,"Garrard, David",14,14,16,66,279,1.1429,4.1250,17.4375,4.2273
dujuanharris/2530690,"Harris, DuJuan",38,38,5,145,590,0.1316,29.0000,118.0000,4.0690
josephaddai/2495793,"Addai, Joseph",20,20,6,234,928,0.3000,39.0000,154.6667,3.9658
andrewilliams/2543565,"Williams, Andre",33,33,2,323,1065,0.0606,161.5000,532.5000,3.2972
derrickward/2505967,"Ward, Derrick",28,28,0,95,469,0.0000,0,0,4.9368
ameerabdullah/2552374,"Abdullah, Ameer",18,18,9,161,698,0.5000,17.8889,77.5556,4.3354
marionbarber/2506447,"Barber, Marion",24,24,2,227,796,0.0833,113.5000,398.0000,3.5066
le'veonbell/2540175,"Bell, Le'Veon",47,47,9,908,4045,0.1915,100.8889,449.4444,4.4548
javoriusallen/2552631,"Allen, Javorius",24,24,4,146,548,0.1667,36.5000,137.0000,3.7534
damienwilliams/2550512,"Williams, Damien",47,47,4,87,296,0.0851,21.7500,74.0000,3.4023
adrianpeterson/2507164,"Peterson, Adrian",77,77,34,1503,7263,0.4416,44.2059,213.6176,4.8323
carloshyde/2543743,"Hyde, Carlos",34,34,13,415,1791,0.3824,31.9231,137.7692,4.3157
vickballard/2533012,"Ballard, Vick",17,17,6,224,877,0.3529,37.3333,146.1667,3.9152
robertturbin/2533460,"Turbin, Robert",73,73,3,328,1291,0.0411,109.3333,430.3333,3.9360
coltmccoy/497123,"McCoy, Colt",35,35,27,118,420,0.7714,4.3704,15.5556,3.5593
tarvarisjackson/2495863,"Jackson, Tarvaris",26,26,14,59,164,0.5385,4.2143,11.7143,2.7797
drewbrees/2504775,"Brees, Drew",111,111,41,163,242,0.3694,3.9756,5.9024,1.4847
tevincoleman/2552453,"Coleman, Tevin",25,25,8,205,912,0.3200,25.6250,114.0000,4.4488
philiprivers/2506121,"Rivers, Philip",112,112,72,178,365,0.6429,2.4722,5.0694,2.0506
reggiebush/2506874,"Bush, Reggie",82,82,30,798,3550,0.3659,26.6000,118.3333,4.4486
lancedunbar/2535708,"Dunbar, Lance",54,54,3,94,422,0.0556,31.3333,140.6667,4.4894
thomasrawls/2553733,"Rawls, Thomas",22,22,2,256,1179,0.0909,128.0000,589.5000,4.6055
paulperkins/2555460,"Perkins, Paul",14,14,2,112,456,0.1429,56.0000,228.0000,4.0714
davidjohnson/2553435,"Johnson, David",32,32,16,418,1820,0.5000,26.1250,113.7500,4.3541
charlessims/2543770,"Sims, Charles",31,31,9,224,863,0.2903,24.8889,95.8889,3.8527
dakprescott/2555260,"Prescott, Dak",16,16,12,57,282,0.7500,4.7500,23.5000,4.9474
lamarmiller/2533034,"Miller, Lamar",75,75,13,906,4003,0.1733,69.6923,307.9231,4.4183
legarretteblount/497149,"Blount, LeGarrette",100,100,29,1168,5122,0.2900,40.2759,176.6207,4.3853
toddgurley/2552475,"Gurley, Todd",29,29,10,507,1991,0.3448,50.7000,199.1000,3.9270
leseanmccoy/79607,"McCoy, LeSean",101,101,31,1743,8317,0.3069,56.2258,268.2903,4.7717
colinkaepernick/2495186,"Kaepernick, Colin",69,69,58,375,2300,0.8406,6.4655,39.6552,6.1333
dougmartin/2532899,"Martin, Doug",57,57,16,1012,4227,0.2807,63.2500,264.1875,4.1769
rayrice/941,"Rice, Ray",63,63,10,1069,4387,0.1587,106.9000,438.7000,4.1038
jordanhoward/2555418,"Howard, Jordan",15,15,3,252,1313,0.2000,84.0000,437.6667,5.2103
marcusmariota/2552466,"Mariota, Marcus",27,27,28,94,601,1.0370,3.3571,21.4643,6.3936
jonathanstewart/949,"Stewart, Jonathan",84,84,31,1096,4669,0.3690,35.3548,150.6129,4.2600
rashadjennings/71345,"Jennings, Rashad",78,78,12,891,3570,0.1538,74.2500,297.5000,4.0067
russellwilson/2532975,"Wilson, Russell",80,80,57,483,2689,0.7125,8.4737,47.1754,5.5673
ladainiantomlinson/2504778,"Tomlinson, LaDainian",29,29,6,294,1194,0.2069,49.0000,199.0000,4.0612
ka'deemcarey/2543551,"Carey, Ka'Deem",37,37,2,111,443,0.0541,55.5000,221.5000,3.9910
trentrichardson/2533032,"Richardson, Trent",46,46,14,614,2032,0.3043,43.8571,145.1429,3.3094
juwanthompson/2550263,"Thompson, Juwan",38,38,2,80,346,0.0526,40.0000,173.0000,4.3250
derekcarr/2543499,"Carr, Derek",47,47,36,101,300,0.7660,2.8056,8.3333,2.9703
alexsmith/2506340,"Smith, Alex",98,98,48,358,1688,0.4898,7.4583,35.1667,4.7151
jasoncampbell/2506364,"Campbell, Jason",38,38,22,87,418,0.5789,3.9545,19.0000,4.8046
tashardchoice/1970,"Choice, Tashard",56,56,7,216,758,0.1250,30.8571,108.2857,3.5093
darrelyoung/2507737,"Young, Darrel",90,90,2,51,185,0.0222,25.5000,92.5000,3.6275
matthewstafford/79860,"Stafford, Matthew",99,99,57,222,743,0.5758,3.8947,13.0351,3.3468
brandonweeden/2532970,"Weeden, Brandon",34,34,18,61,201,0.5294,3.3889,11.1667,3.2951
brianleonard/2495660,"Leonard, Brian",56,56,0,106,434,0.0000,0,0,4.0943
mikegoodson/80644,"Goodson, Mike",34,34,10,145,734,0.2941,14.5000,73.4000,5.0621
lanceball/2507518,"Ball, Lance",41,41,6,179,718,0.1463,29.8333,119.6667,4.0112
kennethdixon/2555229,"Dixon, Kenneth",12,12,2,88,382,0.1667,44.0000,191.0000,4.3409
dannywoodhead/4327,"Woodhead, Danny",83,83,6,488,2118,0.0723,81.3333,353.0000,4.3402
jeremyhill/2543603,"Hill, Jeremy",47,47,15,667,2757,0.3191,44.4667,183.8000,4.1334
tyrodtaylor/2495240,"Taylor, Tyrod",43,43,20,226,1284,0.4651,11.3000,64.2000,5.6814
leonwashington/2495967,"Washington, Leon",71,71,11,117,489,0.1549,10.6364,44.4545,4.1795
terrellepryor/2531332,"Pryor, Terrelle",34,34,11,102,647,0.3235,9.2727,58.8182,6.3431
tombrady/2504211,"Brady, Tom",108,108,47,227,363,0.4352,4.8298,7.7234,1.5991
bilalpowell/2495328,"Powell, Bilal",74,74,8,533,2331,0.1081,66.6250,291.3750,4.3734
isaiahcrowell/2550189,"Crowell, Isaiah",48,48,10,531,2265,0.2083,53.1000,226.5000,4.2655
spencerware/2540204,"Ware, Spencer",27,27,7,289,1334,0.2593,41.2857,190.5714,4.6159
joshmccown/2505076,"McCown, Josh",35,35,38,77,383,1.0857,2.0263,10.0789,4.9740
fozzywhittaker/2540037,"Whittaker, Fozzy",55,55,3,142,597,0.0545,47.3333,199.0000,4.2042
anthonydixon/497172,"Dixon, Anthony",96,96,2,274,934,0.0208,137.0000,467.0000,3.4088
bernardscott/81869,"Scott, Bernard",36,36,1,185,728,0.0278,185.0000,728.0000,3.9351
miketolbert/2507428,"Tolbert, Mike",102,102,13,592,2217,0.1275,45.5385,170.5385,3.7449
alfredblue/2543600,"Blue, Alfred",46,46,8,452,1646,0.1739,56.5000,205.7500,3.6416
zachzenner/2553631,"Zenner, Zach",20,20,2,105,394,0.1000,52.5000,197.0000,3.7524
jaycutler/2495824,"Cutler, Jay",86,86,68,214,1054,0.7907,3.1471,15.5000,4.9252
tavonaustin/2539336,"Austin, Tavon",59,59,18,125,968,0.3051,6.9444,53.7778,7.7440
brandonjacobs/2506448,"Jacobs, Brandon",39,39,12,362,1639,0.3077,30.1667,136.5833,4.5276
dextermccluster/497190,"McCluster, Dexter",89,89,16,250,1042,0.1798,15.6250,65.1250,4.1680
